configuration,question_id,plugin,mode,elapsed_ms,input_norm,output_norm,delta_norm
cohesion_calibrated,nq_133,baseline,replace,0.14920399985385302,0.0,6.318456154960155,6.318456154960155
cohesion_calibrated,nq_133,cohesion,add,0.22011999999449472,6.318456154960155,6.32026935018607,0.0018131952259150084
cohesion_calibrated,nq_134,baseline,replace,0.15411799995490583,0.0,5.903940761890139,5.903940761890139
cohesion_calibrated,nq_134,cohesion,add,0.22068800012675638,5.903940761890139,5.920566354202068,0.016625592311928047
cohesion_calibrated,nq_135,baseline,replace,0.16416199991908798,0.0,4.6862963818546195,4.6862963818546195
cohesion_calibrated,nq_135,cohesion,add,0.22155300007398182,4.6862963818546195,4.688781047126778,0.0024846652721580934
cohesion_calibrated,nq_136,baseline,replace,0.1582790000611567,0.0,4.967838012838917,4.967838012838917
cohesion_calibrated,nq_136,cohesion,add,0.22004600009495334,4.967838012838917,4.969585186390281,0.001747173551364296
cohesion_calibrated,nq_137,baseline,replace,0.19557700011318957,0.0,5.839228558379167,5.839228558379167
cohesion_calibrated,nq_137,cohesion,add,0.2490570000190928,5.839228558379167,5.839322602098705,9.404371953832358e-05
cohesion_calibrated,nq_138,baseline,replace,0.19071099995926488,0.0,6.050431486580725,6.050431486580725
cohesion_calibrated,nq_138,cohesion,add,0.27426500014371413,6.050431486580725,6.0622335188898315,0.01180203230910679
cohesion_calibrated,nq_139,baseline,replace,0.1692339999408432,0.0,5.020119785836898,5.020119785836898
cohesion_calibrated,nq_139,cohesion,add,0.2349480000702897,5.020119785836898,5.021875122619188,0.0017553367822899925
cohesion_calibrated,nq_140,baseline,replace,0.17359699995722622,0.0,6.433726735941286,6.433726735941286
cohesion_calibrated,nq_140,cohesion,add,0.22595199993702408,6.433726735941286,6.436732649342737,0.003005913401451354
cohesion_calibrated,nq_141,baseline,replace,0.15025899983811541,0.0,6.197807934240123,6.197807934240123
cohesion_calibrated,nq_141,cohesion,add,0.21503499988284602,6.197807934240123,6.198850612270591,0.0010426780304684511
cohesion_calibrated,nq_142,baseline,replace,0.15521899990744714,0.0,6.084047552386791,6.084047552386791
cohesion_calibrated,nq_142,cohesion,add,0.22491000004265516,6.084047552386791,6.084134044534818,8.649214802674537e-05
cohesion_calibrated,nq_143,baseline,replace,0.1613690001249779,0.0,5.33301899355655,5.33301899355655
cohesion_calibrated,nq_143,cohesion,add,0.22817300009592145,5.33301899355655,5.3680541215972415,0.035035128040691435
cohesion_calibrated,nq_144,baseline,replace,0.16839199997775722,0.0,6.626559172688151,6.626559172688151
cohesion_calibrated,nq_144,cohesion,add,0.23100500015971193,6.626559172688151,6.626567300864018,8.128175866144153e-06
cohesion_calibrated,nq_145,baseline,replace,0.158612999939578,0.0,6.021496666711802,6.021496666711802
cohesion_calibrated,nq_145,cohesion,add,0.2252189999580878,6.021496666711802,6.0368932240619095,0.01539655735010818
cohesion_calibrated,nq_146,baseline,replace,0.15172000007623865,0.0,5.7022555791334515,5.7022555791334515
cohesion_calibrated,nq_146,cohesion,add,0.2217399999153713,5.7022555791334515,5.710448135273521,0.008192556140069054
cohesion_calibrated,nq_147,baseline,replace,0.14704000000165252,0.0,5.393767931976342,5.393767931976342
cohesion_calibrated,nq_147,cohesion,add,0.2204029999575141,5.393767931976342,5.425751194593943,0.03198326261760051
cohesion_calibrated,nq_148,baseline,replace,0.1645760000883456,0.0,6.477662664397873,6.477662664397873
cohesion_calibrated,nq_148,cohesion,add,0.22137900009511213,6.477662664397873,6.487589405215556,0.00992674081768403
cohesion_calibrated,nq_149,baseline,replace,0.18498999997973442,0.0,5.956266622527608,5.956266622527608
cohesion_calibrated,nq_149,cohesion,add,0.23607899993294268,5.956266622527608,5.994724048454457,0.03845742592684829
cohesion_calibrated,nq_150,baseline,replace,0.16562399991926213,0.0,5.718037830502433,5.718037830502433
